incident_id,date,title,deployer_developer_countries
23,2017-11-08,Las Vegas Self-Driving Bus Involved in Accident,"FRA, USA"
4,2018-03-18,Uber AV Killed Pedestrian in Arizona,USA
1,2015-05-19,Google’s YouTube Kids App Presents Inappropriate Content,USA
18,2015-04-04,Gender Biases of Google Image Search,USA
12,2016-07-21,Common Biases of Vector Embeddings,USA
15,2008-05-23,Amazon Censors Gay Books,USA
7,2017-02-24,Wikipedia Vandalism Prevention Bot Loop,USA
5,2015-07-13,Collection of Robotic Surgery Malfunctions,USA
6,2016-03-24,"Microsoft's TayBot Allegedly Posts Racist, Sexist, and Anti-Semitic Content to Twitter",USA
10,2014-08-14,Kronos Scheduling Algorithm Allegedly Caused Financial Issues for Starbucks Employees,USA
11,2016-05-23,Northpointe Risk Models,USA
20,2016-06-30,A Collection of Tesla Autopilot-Involved Crashes,USA
24,2014-07-15,Robot kills worker at German Volkswagen plant,DEU
14,2017-10-26,Biased Sentiment Analysis,USA
16,2015-06-03,Images of Black People Labeled as Gorillas,USA
3,2018-10-27,Crashes with Maneuvering Characteristics Augmentation System (MCAS),USA
2,2018-12-05,Warehouse robot ruptures can of bear spray and injures workers,USA
19,2013-01-23,Sexist and Racist Google Adsense Advertisements,USA
9,2012-02-25,NY City School Teacher Evaluation Algorithm Contested,USA
8,2014-08-15,Uber Autonomous Cars Running Red Lights,USA
13,2017-02-27,High-Toxicity Assessed on Text Involving Women and Minority Groups,USA
21,2016-07-14,Tougher Turing Test Exposes Chatbots’ Stupidity (migrated to Issue),Unknown
17,2015-11-03,Inappropriate Gmail Smart Reply Suggestions,USA
22,2017-12-06,Waze Navigates Motorists into Wildfires,USA
25,2015-06-23,"Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio Road, Palo Alto","GBR, USA"
37,2016-08-10,Amazon’s Experimental Hiring Tool Allegedly Displayed Gender Bias in Candidate Rankings,USA
31,2017-12-03,Driverless Train in Delhi Crashes due to Braking Failure,IND
34,2015-12-05,Amazon Alexa Responding to Environmental Inputs,USA
27,1983-09-26,Nuclear False Alarm,RUS
29,2011-09-20,Image Classification of Battle Tanks,USA
