incident_id,date,title,victim_country
23,2017-11-08,Las Vegas Self-Driving Bus Involved in Accident,USA
4,2018-03-18,Uber AV Killed Pedestrian in Arizona,USA
1,2015-05-19,Googles YouTube Kids App Presents Inappropriate Content,worldwide
18,2015-04-04,Gender Biases of Google Image Search,worldwide
12,2016-07-21,Common Biases of Vector Embeddings,worldwide
15,2008-05-23,Amazon Censors Gay Books,worldwide
7,2017-02-24,Wikipedia Vandalism Prevention Bot Loop,worldwide
5,2015-07-13,Collection of Robotic Surgery Malfunctions,worldwide
6,2016-03-24,"Microsofts TayBot Allegedly Posts Racist, Sexist, and Anti-Semitic Content to Twitter",worldwide
10,2014-08-14,Kronos Scheduling Algorithm Allegedly Caused Financial Issues for Starbucks Employees,worldwide
11,2016-05-23,Northpointe Risk Models,USA
20,2016-06-30,A Collection of Tesla Autopilot-Involved Crashes,worldwide
24,2014-07-15,Robot kills worker at German Volkswagen plant,DEU
14,2017-10-26,Biased Sentiment Analysis,worldwide
16,2015-06-03,Images of Black People Labeled as Gorillas,worldwide
3,2018-10-27,Crashes with Maneuvering Characteristics Augmentation System (MCAS),worldwide
2,2018-12-05,Warehouse robot ruptures can of bear spray and injures workers,USA
19,2013-01-23,Sexist and Racist Google Adsense Advertisements,worldwide
9,2012-02-25,NY City School Teacher Evaluation Algorithm Contested,USA
8,2014-08-15,Uber Autonomous Cars Running Red Lights,USA
13,2017-02-27,High-Toxicity Assessed on Text Involving Women and Minority Groups,worldwide
21,2016-07-14,Tougher Turing Test Exposes Chatbots Stupidity (migrated to Issue),worldwide
17,2015-11-03,Inappropriate Gmail Smart Reply Suggestions,worldwide
22,2017-12-06,Waze Navigates Motorists into Wildfires,USA
25,2015-06-23,"Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio Road, Palo Alto",USA
37,2016-08-10,Amazons Experimental Hiring Tool Allegedly Displayed Gender Bias in Candidate Rankings,worldwide
31,2017-12-03,Driverless Train in Delhi Crashes due to Braking Failure,IND
34,2015-12-05,Amazon Alexa Responding to Environmental Inputs,worldwide
27,1983-09-26,Nuclear False Alarm,worldwide
29,2011-09-20,Image Classification of Battle Tanks,USA
32,2017-09-13,Identical Twins Can Open Apple FaceID Protected Devices,worldwide
44,2008-07-01,Machine Personal Assistants Failed to Maintain Social Norms,USA
35,2014-10-18,Employee Automatically Terminated by Computer Program,worldwide
47,2016-09-06,LinkedIn Search Prefers Male Names,USA
48,2016-12-07,Passport checker Detects Asian mans Eyes as Closed,NZL
28,2010-05-08,2010 Market Flash Crash,worldwide
43,1998-03-05,Racist AI behaviour is not a new problem,worldwide
26,2017-09-13,Hackers Break Apple Face ID,worldwide
33,2017-11-09,Amazon Alexa Plays Loud Music when Owner is Away,worldwide
46,2014-01-21,Nest Smoke Alarm Erroneously Stops Alarming,worldwide
39,2017-07-01,Deepfake Obama Introduction of Deepfakes,JOR
30,2016-10-08,Poor Performance of Tesla Factory Robots,worldwide
36,2018-11-06,Picture of Woman on Side of Bus Shamed for Jaywalking,CHN
41,2018-04-02,All Image Captions Produced are Violent,worldwide
42,1996-04-03,Inefficiencies in the United States Resident Matching Program,USA
45,2011-04-05,Defamation via AutoComplete,worldwide
38,2016-06-02,Game AI System Produces Imbalanced Game,worldwide
40,2016-05-23,COMPAS Algorithm Reportedly Performs Poorly in Crime Recidivism Prediction,worldwide
64,2018-01-22,Customer Service Robot Scares Away Customers,GBR
67,2018-12-01,Sleeping Driver on Tesla AutoPilot,worldwide
60,2017-04-25,FaceApp Racial Filters,worldwide
54,2015-11-18,Predictive Policing Biases of PredPol,worldwide
68,2017-07-17,Security Robot Drowns Itself in a Fountain,USA
58,2017-10-12,Russian Chatbot Supports Stalin and Violence,RUS
61,2017-05-01,Overfit Kaggle Models Discouraged Data Science Competitors,worldwide
52,2016-07-01,Tesla on AutoPilot Killed Driver in Crash in Florida while Watching Movie,USA
70,2016-02-10,Self-driving cars in winter,SWE
59,2017-04-13,Gender Biases in Google Translate,worldwide
62,2017-12-23,Bad AI-Written Christmas Carols,worldwide
51,2016-07-12,Security Robot Rolls Over Child in Mall,worldwide
53,2016-03-31,Biased Google Image Results,worldwide
63,2018-01-25,Google Photo Merge Decapitates Subject,worldwide
56,2017-07-10,AI-Designed Phone Cases Are Unexpected,worldwide
57,2015-07-01,Australian Automated Debt Assessment System Issued False Notices to Thousands,AUS
65,2016-12-22,Reinforcement Learning Reward Functions in Video Games,worldwide
50,2016-06-17,The DAO Hack,worldwide
71,2016-02-14,Google Waymo Vehicle and Bus Allegedly Collide in California,USA
55,2016-12-30,Alexa Plays Pornography Instead of Kids Song,worldwide
69,2015-07-02,Worker killed by robot in welding accident at car parts factory in India,IND
66,2017-08-02,Chinese Chatbots Question Communist Party,CHN
49,2016-09-05,AI Beauty Judge Did Not Like Dark Skin,worldwide
72,2017-10-17,"Facebook translates good morning into attack them, leading to arrest","PSE, ISR"
82,2020-10-21,#LekkiMassacre: Why Facebook labelled content from October 20 incident false,NGA
